3 22 -6.893083e-06
3 23 -2.548682e-06
3 24 -8.937077e-07
3 25 -2.973318e-07
3 26 -9.388907e-08
3 27 -2.814855e-08
3 28 -8.014678e-09
3 29 -2.167764e-09
3 30 -5.570931e-10
3 31 -1.360557e-10
3 32 -3.158301e-11
3 33 -6.969538e-12
3 34 -1.462272e-12
3 35 -2.917290e-13
3 36 -5.534864e-14
3 37 -9.987447e-15
3 38 -1.714203e-15
3 39 -2.798767e-16
3 40 -4.347120e-17
3 41 -6.423882e-18
3 42 -9.031973e-19
3 43 -1.208323e-19
3 44 -1.538234e-20
3 45 -1.863472e-21
3 46 -2.148351e-22
3 47 -2.357155e-23
3 48 -2.461441e-24
3 49 -2.446388e-25
3 50 -2.314254e-26
3 51 -2.083824e-27
3 52 -1.786027e-28
3 53 -1.457152e-29
3 54 -1.131678e-30
3 55 -8.366679e-32
3 56 -5.888510e-33
3 57 -3.945385e-34
3 58 -2.516598e-35
3 59 -1.528225e-36
3 60 -8.835226e-38
3 61 -4.863088e-39
3 62 -2.548460e-40
3 63 -9.868212e-01
3 64 -0.000000e+00

4 0 -0.000000e+00
4 1 7.141253e-01
4 2 3.057002e-02
4 3 2.072196e-02
4 4 9.972967e-03
4 5 2.469054e-04
4 6 -7.089553e-03
4 7 -1.145376e-02
4 8 -1.300334e-02
4 9 -1.239823e-02
4 10 -1.049472e-02
4 11 -8.085043e-03
4 12 -5.745271e-03
4 13 -3.796408e-03
4 14 -2.345152e-03
4 15 -1.359255e-03
4 16 -7.411712e-04
4 17 -3.809704e-04
4 18 -1.848790e-04
4 19 -8.480774e-05
4 20 -3.680943e-05
4 21 -1.512883e-05
4 22 -5.891989e-06
4 23 -2.175555e-06
4 24 -7.619639e-07
4 25 -2.532385e-07
4 26 -7.989276e-08
4 27 -2.393307e-08
4 28 -6.809541e-09
4 29 -1.840630e-09
4 30 -4.727528e-10
4 31 -1.153984e-10
4 32 -2.677535e-11
4 33 -5.906136e-12
4 34 -1.238688e-12
4 35 -2.470375e-13
4 36 -4.685467e-14
4 37 -8.452296e-15
4 38 -1.450331e-15
4 39 -2.367368e-16
4 40 -3.676234e-17
4 41 -5.431366e-18
4 42 -7.635035e-19
4 43 -1.021255e-19
4 44 -1.299878e-20
4 45 -1.574479e-21
4 46 -1.814921e-22
4 47 -1.991056e-23
4 48 -2.078890e-24
4 49 -2.065940e-25
4 50 -1.954146e-26
4 51 -1.759395e-27
4 52 -1.507822e-28
4 53 -1.230067e-29
4 54 -9.552373e-31
4 55 -7.061679e-32
4 56 -4.969685e-33
4 57 -3.329533e-34
4 58 -2.123637e-35
4 59 -1.289519e-36
4 60 -7.454756e-38
4 61 -4.103031e-39
4 62 -2.150051e-40
4 63 -9.765778e-01
4 64 -0.000000e+00

5 0 -0.000000e+00
5 1 5.620405e-01
5 2 1.413985e-02
5 3 7.429532e-03
5 4 2.469054e-04
5 5 -6.030067e-03
